Id,Label,type,xcoord,ycoord,category,Modularity Class,Eigenvector Centrality,In Degree,Out Degree,Degree,Weighted Degree
177,Sachie Takahashi,person,0.0,0.0,individual,19,0.1385345100038287,0,2,2,2
178,Melissa Terras,person,0.0,0.0,individual,22,0.2613353532953966,0,3,3,3
179,Taro Tezuka,person,0.0,0.0,individual,19,0.15425812725017873,0,2,2,2
180,Ruck Thawonmas,person,0.0,0.0,individual,19,0.13245733521304165,0,2,2,2
181,Ulrich Tiedau,person,0.0,0.0,individual,22,0.2045548542696308,0,2,2,2
182,Norio Togiya,person,0.0,0.0,individual,38,0.028916368794834772,0,2,2,2
183,Toru Tomabechi,person,0.0,0.0,individual,38,0.02887485371697831,0,2,2,2
184,Kathryn Tomasek,person,0.0,0.0,individual,43,0.02684903896535227,0,3,3,3
185,Ellen Truxaw,person,0.0,0.0,individual,4,0.12185884149276693,0,2,2,2
186,Hsieh-Chang Tu,person,0.0,0.0,individual,44,0.09494432558651672,0,2,2,2
187,Raffaele Viglianti,person,0.0,0.0,individual,27,0.28557917175129205,0,3,3,3
188,Amanda Visconti,person,0.0,0.0,individual,18,0.10221148447549,0,2,2,2
189,John A. Walsh,person,0.0,0.0,individual,30,0.24275172270495102,0,3,3,3
190,Claire Warwick,person,0.0,0.0,individual,22,0.252460377873991,0,3,3,3
191,Anne Welsh,person,0.0,0.0,individual,22,0.2045548542696308,0,2,2,2
192,George H. Williams,person,0.0,0.0,individual,17,0.022368834398077214,0,2,2,2
193,Daniel Zavala,person,0.0,0.0,individual,22,0.07833672048497754,0,2,2,2
194,Andrew Zisserman,person,0.0,0.0,individual,16,0.027341960365656788,0,1,1,1
195,Simon Zupan,person,0.0,0.0,individual,60,0.03466484601865576,0,2,2,2
196,Jean-Francois Blanchette,person,0.0,0.0,individual,0,0.07360547099651445,0,2,2,2
197,Johanna Drucker,person,0.0,0.0,individual,0,0.07360547099651445,0,2,2,2
198,Matthew Kirschenbaum,person,0.0,0.0,individual,0,0.07881609655479271,0,2,2,2
199,Laura Mandell,person,0.0,0.0,individual,42,0.024757353236186663,0,2,2,2
200,Stephen Olsen,person,0.0,0.0,individual,42,0.01799220379698489,0,1,1,1
201,Karina van Dalen-Oskam,person,0.0,0.0,individual,39,0.04197242725652898,0,2,2,2
202,Elisabeth Burr,person,0.0,0.0,individual,22,0.07362011596478069,0,2,2,2
203,Richard Cunningham,person,0.0,0.0,individual,22,0.055924252521502966,0,2,2,2
204,Wendy Duff,person,0.0,0.0,individual,22,0.0604330852604063,0,2,2,2
205,Dominic Forest,person,0.0,0.0,individual,34,0.06230321216204807,0,2,2,2
206,Fenella G France,person,0.0,0.0,individual,33,0.01575741853985095,0,2,2,2
207,Isabel Galina,person,0.0,0.0,individual,22,0.053498616715793874,0,2,2,2
208,Lynne Siemens,person,0.0,0.0,individual,41,0.07532844891340647,0,2,2,2
209,Michael B Toth,person,0.0,0.0,individual,33,0.009427452205499055,0,1,1,1
210,Ping-Yen Chen,person,0.0,0.0,individual,44,0.10300714868928901,0,2,2,2
211,Sean Gouglas,person,0.0,0.0,individual,41,0.20082430742644908,0,2,2,2
212,Sophia Hoosein,person,0.0,0.0,individual,41,0.20082430742644908,0,2,2,2
213,Yu-Ming Huang,person,0.0,0.0,individual,44,0.10300714868928901,0,2,2,2
214,A. Charles Muller,person,0.0,0.0,individual,38,0.023405288130767005,0,2,2,2
215,Harvey Quamen,person,0.0,0.0,individual,41,0.20082430742644908,0,2,2,2
216,Geoffrey Rockwell,person,0.0,0.0,individual,41,0.39278130089523644,0,5,5,5
217,Victoria Susan Smith,person,0.0,0.0,individual,41,0.20082430742644908,0,2,2,2
218,Mihaela Ilovan,person,0.0,0.0,individual,41,0.23256341774828812,0,2,2,2
219,Milena Radzikowska,person,0.0,0.0,individual,41,0.23256341774828812,0,2,2,2
220,Stan Ruecker,person,0.0,0.0,individual,41,0.35188462853494584,0,4,4,4
221,Daniel Sondheim,person,0.0,0.0,individual,41,0.23256341774828812,0,2,2,2
222,Ryan Heuser,person,0.0,0.0,individual,4,0.13099799405615237,0,2,2,2
223,Matthew Jockers,person,0.0,0.0,individual,4,0.12185884149276693,0,2,2,2
224,Long Le-Khac,person,0.0,0.0,individual,4,0.13099799405615237,0,2,2,2
225,Allen Beye Riddell,person,0.0,0.0,individual,27,0.02418069740888518,0,2,2,2
226,Peter Ainsworth,person,0.0,0.0,individual,37,0.22063200644796488,0,2,2,2
227,Yahya Ahmed Ali Al-Hajj,person,0.0,0.0,individual,66,0.022368834398077214,0,2,2,2
228,Simon Appleford,person,0.0,0.0,individual,37,0.26133328684030305,0,2,2,2
229,Peter Bajcsy,person,0.0,0.0,individual,37,0.24675187307415197,0,2,2,2
230,Steve Benford,person,0.0,0.0,individual,4,0.05539246911332824,0,2,2,2
231,Steve Cohen,person,0.0,0.0,individual,37,0.24675187307415197,0,2,2,2
232,Matthew Geimer,person,0.0,0.0,individual,37,0.24675187307415197,0,2,2,2
233,Gabriella Giannachi,person,0.0,0.0,individual,4,0.0427295355156323,0,2,2,2
234,Jennifer Guiliano,person,0.0,0.0,individual,37,0.21358393137301976,0,2,2,2
235,Natalie Hanson,person,0.0,0.0,individual,37,0.26133328684030305,0,2,2,2
236,Anne D. Hedeman,person,0.0,0.0,individual,37,0.26133328684030305,0,2,2,2
237,Rob Kooper,person,0.0,0.0,individual,37,0.24675187307415197,0,2,2,2
238,Marc Wilhelm Kuster,person,0.0,0.0,individual,66,0.022368834398077214,0,2,2,2
239,Henry Lowood,person,0.0,0.0,individual,4,0.1464959600696135,0,2,2,2
240,Luigi Marini,person,0.0,0.0,individual,37,0.24675187307415197,0,2,2,2
241,Robert Markley,person,0.0,0.0,individual,37,0.26133328684030305,0,2,2,2
242,Michael Meredith,person,0.0,0.0,individual,37,0.22063200644796488,0,2,2,2
243,Dominic Price,person,0.0,0.0,individual,4,0.05539246911332824,0,2,2,2
244,Dean Rehberger,person,0.0,0.0,individual,37,0.24675187307415197,0,2,2,2
245,Justine Richardson,person,0.0,0.0,individual,37,0.24675187307415197,0,2,2,2
246,Duncan Rowland,person,0.0,0.0,individual,4,0.05539246911332824,0,2,2,2
247,Tenzing Shaw,person,0.0,0.0,individual,37,0.24675187307415197,0,2,2,2
248,Michael Simeone,person,0.0,0.0,individual,37,0.26133328684030305,0,2,2,2
249,Marc Alexander,person,0.0,0.0,individual,36,0.041036054703259044,0,2,2,2
250,Jean Gilmour Anderson,person,0.0,0.0,individual,36,0.041036054703259044,0,2,2,2
251,Nuria Rodriguez,person,0.0,0.0,individual,45,0.041526002257733764,0,3,3,3
252,Sulman Sarwar,person,0.0,0.0,individual,36,0.030373027518243733,0,2,2,2
253,Richard Sinnott,person,0.0,0.0,individual,36,0.0375406295887247,0,2,2,2
254,Craig Stroupe,person,0.0,0.0,individual,61,0.012145697327603951,0,2,2,2
255,Monica Brown,person,0.0,0.0,individual,41,0.07900534291005339,0,2,2,2
256,Teresa M. Dobson,person,0.0,0.0,individual,41,0.07900534291005339,0,2,2,2
257,Dustin Grue,person,0.0,0.0,individual,41,0.07900534291005339,0,2,2,2
258,Piotr Michura,person,0.0,0.0,individual,41,0.06492994803426977,0,2,2,2
259,Omar Rodriguez,person,0.0,0.0,individual,41,0.1933236770872043,0,2,2,2
260,Hiroyuki Akama,person,0.0,0.0,individual,38,0.04281337488904815,0,2,2,2
261,Deborah Anderson,person,0.0,0.0,individual,39,0.030761605726796336,0,2,2,2
262,David Beavan,person,0.0,0.0,individual,36,0.024476394933025464,0,2,2,2
263,Molly Dolan,person,0.0,0.0,individual,50,0.04853376335532824,0,2,2,2
264,Jeana Jorgensen,person,0.0,0.0,individual,30,0.20895910281551805,0,2,2,2
265,Jaeyoung Jung,person,0.0,0.0,individual,38,0.04281337488904815,0,2,2,2
266,Maki Miyake,person,0.0,0.0,individual,38,0.04281337488904815,0,2,2,2
267,Trevor Munoz,person,0.0,0.0,individual,50,0.07427750018403678,0,2,2,2
268,Allen Renear,person,0.0,0.0,individual,50,0.07427750018403678,0,2,2,2
269,Kevin Trainor,person,0.0,0.0,individual,50,0.07427750018403678,0,2,2,2
270,Virgil Varvel,person,0.0,0.0,individual,50,0.07427750018403678,0,2,2,2
271,Scott Weingart,person,0.0,0.0,individual,30,0.32070914228567904,0,3,3,3
272,Cameron Blevins,person,0.0,0.0,individual,4,0.12185884149276693,0,2,2,2
273,Angela Courtney,person,0.0,0.0,individual,30,0.2042178566361781,0,2,2,2
274,Thomas Crochunis,person,0.0,0.0,individual,34,0.024071260984814963,0,2,2,2
275,Michelle Dalmau,person,0.0,0.0,individual,30,0.2042178566361781,0,2,2,2
276,Stephen Paling,person,0.0,0.0,individual,65,0.012145697327603951,0,2,2,2
277,Matteo Romanello,person,0.0,0.0,individual,21,0.2482103077119834,0,2,2,2
278,Jon Sachs,person,0.0,0.0,individual,34,0.024071260984814963,0,2,2,2
279,Tara Andrews,person,0.0,0.0,individual,39,0.0711379766387876,0,2,2,2
280,Catherine Blake,person,0.0,0.0,individual,56,0.022368834398077214,0,2,2,2
281,Wayne Graham,person,0.0,0.0,individual,39,0.06049496278077305,0,2,2,2
282,Ana Lucic,person,0.0,0.0,individual,56,0.022368834398077214,0,2,2,2
283,Gregor Middell,person,0.0,0.0,individual,39,0.0711379766387876,0,2,2,2
284,Malte Rehbein,person,0.0,0.0,individual,25,0.012145697327603951,0,2,2,2
285,Doug Reside,person,0.0,0.0,individual,39,0.09689152136498533,0,2,2,2
286,Radu Suciu,person,0.0,0.0,individual,26,0.012145697327603951,0,2,2,2
287,Dirk Van Hulle,person,0.0,0.0,individual,39,0.0711379766387876,0,2,2,2
288,Joris van Zundert,person,0.0,0.0,individual,39,0.0711379766387876,0,2,2,2
289,Ryan Baumann,person,0.0,0.0,individual,27,0.0561515014784328,0,2,2,2
290,Gabriel Bodard,person,0.0,0.0,individual,27,0.26902751376338835,0,2,2,2
291,Hugh Cayless,person,0.0,0.0,individual,27,0.08041145243416459,0,2,2,2
292,Joshua Sosin,person,0.0,0.0,individual,27,0.06580920182668534,0,2,2,2
293,Eugene Chung,person,0.0,0.0,individual,28,0.07196494233035411,0,2,2,2
294,John Funchion,person,0.0,0.0,individual,50,0.01806719235916359,0,2,2,2
295,Anthony W. Johnson,person,0.0,0.0,individual,60,0.06139916219396149,0,2,2,2
296,Beom-mo Kang,person,0.0,0.0,individual,28,0.07196494233035411,0,2,2,2
297,Heunggyu Kim,person,0.0,0.0,individual,28,0.07196494233035411,0,2,2,2
298,Ilhwan Kim,person,0.0,0.0,individual,28,0.07196494233035411,0,2,2,2
299,Do-Gil Lee,person,0.0,0.0,individual,28,0.07196494233035411,0,2,2,2
300,John Melson,person,0.0,0.0,individual,50,0.03898063808806015,0,2,2,2
301,Tapio Seppanen,person,0.0,0.0,individual,60,0.06139916219396149,0,2,2,2
302,Brett Barney,person,0.0,0.0,individual,52,0.03546316887205981,0,2,2,2
303,Jacob Cantrell,person,0.0,0.0,individual,62,0.051844243821856435,0,2,2,2
304,Grant De Lozier,person,0.0,0.0,individual,62,0.051844243821856435,0,2,2,2
305,Fred Gibbs,person,0.0,0.0,individual,55,0.012145697327603951,0,2,2,2
306,Liz Lorang,person,0.0,0.0,individual,52,0.03546316887205981,0,2,2,2
307,John McIntosh,person,0.0,0.0,individual,62,0.051844243821856435,0,2,2,2
308,Kenneth M. Price,person,0.0,0.0,individual,52,0.03546316887205981,0,2,2,2
309,May Yuan,person,0.0,0.0,individual,62,0.051844243821856435,0,2,2,2
310,Krishna Janakiraman,person,0.0,0.0,individual,39,0.04898491496348115,0,2,2,2
311,Ray Larson,person,0.0,0.0,individual,39,0.04898491496348115,0,2,2,2
312,Daniel Pitti,person,0.0,0.0,individual,39,0.06601509521846362,0,2,2,2
313,Brian Tingle,person,0.0,0.0,individual,39,0.03241523374514222,0,2,2,2
314,Sandy Baldwin,person,0.0,0.0,individual,50,0.044501203905319434,0,2,2,2
315,John Cayley,person,0.0,0.0,individual,50,0.058390178060026825,0,2,2,2
316,Nick Montfort,person,0.0,0.0,individual,50,0.0385227108869246,0,2,2,2
317,Rita Raley,person,0.0,0.0,individual,50,0.05675912811585652,0,2,2,2
318,Noah Wardrip-Fruin,person,0.0,0.0,individual,50,0.04302084482177721,0,2,2,2
319,Elton T.E. Barker,person,0.0,0.0,individual,40,0.0285319794118379,0,2,2,2
320,Kate Byrne,person,0.0,0.0,individual,40,0.0285319794118379,0,2,2,2
321,Leif Isaksen,person,0.0,0.0,individual,40,0.0285319794118379,0,2,2,2
322,Alida Isolani,person,0.0,0.0,individual,45,0.043940946523046386,0,2,2,2
323,Eric Christopher Kansa,person,0.0,0.0,individual,40,0.0285319794118379,0,2,2,2
324,Dianella Lombardini,person,0.0,0.0,individual,45,0.043940946523046386,0,2,2,2
325,Daniele Marotta,person,0.0,0.0,individual,45,0.043940946523046386,0,2,2,2
326,Allison Marsh,person,0.0,0.0,individual,37,0.024110677555391667,0,2,2,2
327,Susana Smith Bautista,person,0.0,0.0,individual,0,0.02096040729393163,0,2,2,2
328,Meagan Timney,person,0.0,0.0,individual,41,0.012076583771249831,0,1,1,1
329,Sheila Anderson,person,0.0,0.0,individual,21,0.2503414476973532,0,2,2,2
330,Adam Brin,person,0.0,0.0,individual,53,0.022368834398077214,0,2,2,2
331,Francis Pierce-McManamon,person,0.0,0.0,individual,53,0.022368834398077214,0,2,2,2
332,Tanya Clement,person,0.0,0.0,individual,39,0.11677605243960239,0,2,2,2
333,Eric Rochester,person,0.0,0.0,individual,39,0.10092262748852576,0,2,2,2
334,Bruce Barton,person,0.0,0.0,individual,29,0.016573720850397582,0,1,1,1
335,Joseph Biberstine,person,0.0,0.0,individual,30,0.2927114214997726,0,2,2,2
336,Katy Borner,person,0.0,0.0,individual,30,0.2927114214997726,0,2,2,2
337,Timothy Cole,person,0.0,0.0,individual,29,0.016573720850397582,0,1,1,1
338,Rebecca Frost Davis,person,0.0,0.0,individual,43,0.018186407228468378,0,2,2,2
339,Russell Duhon,person,0.0,0.0,individual,30,0.2927114214997726,0,2,2,2
340,Neil Fraistat,person,0.0,0.0,individual,29,0.016573720850397582,0,1,1,1
341,Charlotte Gooskens,person,0.0,0.0,individual,31,0.07196494233035411,0,2,2,2
342,David Greenbaum,person,0.0,0.0,individual,29,0.016573720850397582,0,1,1,1
343,Peter Kleiweg,person,0.0,0.0,individual,31,0.07196494233035411,0,2,2,2
344,Chin Hua Kong,person,0.0,0.0,individual,30,0.2927114214997726,0,2,2,2
345,Therese Leinonen,person,0.0,0.0,individual,31,0.07196494233035411,0,2,2,2
