Source,Target,Type,Id,Label,Weight
94,398,Directed,96,,1.0
94,1563,Directed,1138,,1.0
95,399,Directed,97,,1.0
95,1570,Directed,1024,,1.0
96,387,Directed,98,,1.0
96,490,Directed,372,,1.0
96,1586,Directed,923,,1.0
97,383,Directed,99,,1.0
98,400,Directed,100,,1.0
98,461,Directed,295,,1.0
98,1405,Directed,1008,,1.0
99,402,Directed,102,,1.0
99,1548,Directed,1120,,1.0
100,403,Directed,103,,1.0
100,1407,Directed,814,,1.0
101,404,Directed,104,,1.0
101,1566,Directed,973,,1.0
102,399,Directed,105,,1.0
102,405,Directed,106,,1.0
104,389,Directed,107,,1.0
104,1384,Directed,830,,1.0
105,386,Directed,108,,1.0
105,1452,Directed,836,,1.0
106,406,Directed,109,,1.0
106,1420,Directed,946,,1.0
107,402,Directed,110,,1.0
107,1548,Directed,1075,,1.0
108,404,Directed,111,,1.0
108,1566,Directed,1042,,1.0
109,391,Directed,112,,1.0
109,1449,Directed,901,,1.0
110,397,Directed,113,,1.0
110,1447,Directed,968,,1.0
111,391,Directed,114,,1.0
111,1414,Directed,856,,1.0
112,407,Directed,115,,1.0
112,1558,Directed,959,,1.0
113,392,Directed,116,,1.0
113,1528,Directed,1122,,1.0
114,396,Directed,117,,1.0
114,440,Directed,225,,1.0
114,1446,Directed,911,,1.0
115,408,Directed,118,,1.0
115,479,Directed,346,,1.0
115,1438,Directed,994,,1.0
116,409,Directed,119,,1.0
116,1546,Directed,1136,,1.0
117,396,Directed,120,,1.0
117,440,Directed,227,,1.0
117,1446,Directed,932,,1.0
118,398,Directed,121,,1.0
118,1563,Directed,804,,1.0
119,410,Directed,122,,1.0
119,1528,Directed,980,,1.0
120,411,Directed,123,,1.0
120,1447,Directed,1083,,1.0
121,410,Directed,124,,1.0
121,1472,Directed,885,,1.0
122,1497,Directed,989,,1.0
123,412,Directed,126,,1.0
123,472,Directed,319,,1.0
123,1585,Directed,916,,1.0
124,414,Directed,128,,1.0
124,1561,Directed,1110,,1.0
125,415,Directed,129,,1.0
125,1408,Directed,806,,1.0
126,411,Directed,130,,1.0
126,1447,Directed,890,,1.0
127,383,Directed,131,,1.0
128,416,Directed,132,,1.0
128,1553,Directed,864,,1.0
129,399,Directed,133,,1.0
129,1570,Directed,918,,1.0
130,391,Directed,134,,1.0
130,1414,Directed,955,,1.0
131,383,Directed,135,,1.0
132,403,Directed,136,,1.0
132,1456,Directed,1074,,1.0
133,417,Directed,137,,1.0
133,1528,Directed,871,,1.0
134,411,Directed,138,,1.0
134,1447,Directed,795,,1.0
135,418,Directed,139,,1.0
135,1563,Directed,1085,,1.0
136,419,Directed,140,,1.0
136,1512,Directed,835,,1.0
137,398,Directed,142,,1.0
137,1563,Directed,822,,1.0
138,406,Directed,143,,1.0
138,1438,Directed,953,,1.0
139,385,Directed,144,,1.0
139,1410,Directed,1080,,1.0
140,420,Directed,145,,1.0
140,1562,Directed,793,,1.0
141,421,Directed,146,,1.0
141,1390,Directed,967,,1.0
142,397,Directed,147,,1.0
142,1482,Directed,1017,,1.0
143,422,Directed,148,,1.0
143,1542,Directed,807,,1.0
144,417,Directed,149,,1.0
144,1528,Directed,898,,1.0
145,406,Directed,150,,1.0
145,466,Directed,305,,1.0
145,486,Directed,363,,1.0
145,1420,Directed,816,,1.0
146,418,Directed,151,,1.0
146,1563,Directed,952,,1.0
147,403,Directed,152,,1.0
147,1407,Directed,855,,1.0
148,423,Directed,153,,1.0
148,1581,Directed,1128,,1.0
149,412,Directed,154,,1.0
149,472,Directed,325,,1.0
149,1585,Directed,976,,1.0
150,424,Directed,155,,1.0
150,1395,Directed,1060,,1.0
150,1469,Directed,1059,,1.0
151,411,Directed,156,,1.0
151,1447,Directed,1109,,1.0
152,399,Directed,157,,1.0
152,1570,Directed,1061,,1.0
153,417,Directed,158,,1.0
153,1528,Directed,870,,1.0
154,399,Directed,159,,1.0
154,1570,Directed,1079,,1.0
155,425,Directed,160,,1.0
155,486,Directed,364,,1.0
155,1546,Directed,862,,1.0
156,404,Directed,161,,1.0
156,439,Directed,218,,1.0
156,1566,Directed,880,,1.0
157,404,Directed,162,,1.0
157,1563,Directed,881,,1.0
158,386,Directed,163,,1.0
158,1504,Directed,851,,1.0
159,383,Directed,164,,1.0
160,426,Directed,165,,1.0
160,1592,Directed,928,,1.0
161,425,Directed,166,,1.0
161,1414,Directed,865,,1.0
162,427,Directed,167,,1.0
162,1447,Directed,888,,1.0
163,389,Directed,168,,1.0
163,1440,Directed,971,,1.0
164,418,Directed,169,,1.0
165,398,Directed,170,,1.0
165,1563,Directed,837,,1.0
166,405,Directed,172,,1.0
166,1461,Directed,1137,,1.0
167,1382,Directed,1103,,1.0
167,410,Directed,173,,1.0
167,435,Directed,210,,1.0
167,1491,Directed,1104,,1.0
168,421,Directed,174,,1.0
168,1418,Directed,997,,1.0
169,408,Directed,175,,1.0
169,1438,Directed,965,,1.0
170,426,Directed,176,,1.0
170,1592,Directed,1026,,1.0
171,406,Directed,177,,1.0
171,489,Directed,390,,1.0
171,494,Directed,389,,1.0
171,1394,Directed,1091,,1.0
172,427,Directed,178,,1.0
172,1447,Directed,966,,1.0
173,428,Directed,179,,1.0
173,1587,Directed,925,,1.0
174,413,Directed,180,,1.0
174,1545,Directed,1066,,1.0
175,403,Directed,181,,1.0
175,1407,Directed,993,,1.0
